DOL Salary Data,,,,,,,,
:: Assumed Salaries shown in black font,,,,,,,,
,"Cooks, private household"," $24,700 "," $11,234 "," $16,720 "," $19,410 "," $24,700 "," $31,110 "," $42,880 "
,"Cooks, restaurant"," $22,170 "," $6,389 "," $16,140 "," $18,430 "," $22,170 "," $26,590 "," $31,770 "
,"Cooks, short order"," $19,520 "," $5,827 "," $15,340 "," $16,730 "," $19,520 "," $23,580 "," $28,340 "
,Cooling and freezing equipment operators and tenders," $26,520 "," $10,500 "," $18,090 "," $21,440 "," $26,520 "," $36,080 "," $43,200 "
,Correctional officers and jailers," $39,050 "," $16,143 "," $25,960 "," $31,210 "," $39,050 "," $52,240 "," $64,850 "
,Correspondence clerks," $31,940 "," $9,451 "," $22,020 "," $26,730 "," $31,940 "," $38,410 "," $46,220 "
,Cost estimators," $57,300 "," $23,705 "," $33,560 "," $43,390 "," $57,300 "," $75,000 "," $95,190 "
,Costume attendants," $26,210 "," $20,368 "," $16,760 "," $18,780 "," $26,210 "," $39,010 "," $60,860 "
,"Counselors, all other"," $41,320 "," $17,433 "," $24,480 "," $31,390 "," $41,320 "," $56,100 "," $69,260 "
,Counter and rental clerks," $21,300 "," $10,751 "," $15,400 "," $17,450 "," $21,300 "," $28,920 "," $38,910 "
,"Counter attendants, cafeteria, food concession, and coffee shop"," $18,180 "," $4,446 "," $15,200 "," $16,210 "," $18,180 "," $20,320 "," $24,610 "
,Couriers and messengers," $23,770 "," $8,922 "," $16,530 "," $19,120 "," $23,770 "," $30,050 "," $37,830 "
,Court reporters," $47,810 "," $25,177 "," $25,410 "," $34,710 "," $47,810 "," $67,420 "," $89,240 "
,"Court, municipal, and license clerks"," $33,520 "," $11,846 "," $21,880 "," $26,890 "," $33,520 "," $42,110 "," $52,010 "
,Craft artists," $28,960 "," $17,173 "," $16,760 "," $20,840 "," $28,960 "," $39,540 "," $57,550 "
,Crane and tower operators," $44,140 "," $18,157 "," $27,690 "," $34,290 "," $44,140 "," $59,270 "," $73,140 "
,Credit analysts," $57,470 "," $33,256 "," $34,420 "," $42,950 "," $57,470 "," $80,790 "," $112,710 "
,"Credit authorizers, checkers, and clerks"," $31,950 "," $11,525 "," $20,040 "," $25,400 "," $31,950 "," $40,360 "," $50,000 "
,"Criminal justice and law enforcement teachers, postsecondary"," $57,500 "," $28,544 "," $32,470 "," $43,040 "," $57,500 "," $77,020 "," $104,170 "
,Crossing guards," $23,390 "," $8,628 "," $16,260 "," $18,720 "," $23,390 "," $30,330 "," $36,950 "
,"Crushing, grinding, and polishing machine setters, operators, and tenders"," $31,490 "," $10,523 "," $20,310 "," $24,900 "," $31,490 "," $39,580 "," $47,760 "
,Curators," $47,930 "," $22,180 "," $27,000 "," $35,300 "," $47,930 "," $65,080 "," $83,900 "
,Customer service representatives," $30,290 "," $11,816 "," $19,410 "," $23,980 "," $30,290 "," $38,480 "," $49,020 "
,"Cutters and trimmers, hand"," $24,220 "," $8,884 "," $17,420 "," $19,680 "," $24,220 "," $30,660 "," $38,170 "
,"Cutting and slicing machine setters, operators, and tenders"," $29,600 "," $9,890 "," $19,290 "," $23,420 "," $29,600 "," $37,010 "," $44,890 "
,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"," $29,160 "," $9,032 "," $19,380 "," $23,310 "," $29,160 "," $35,990 "," $42,930 "
,Data entry keyers," $27,150 "," $8,035 "," $18,690 "," $22,270 "," $27,150 "," $32,370 "," $39,290 "
,Database administrators," $71,550 "," $27,035 "," $40,780 "," $53,470 "," $71,550 "," $93,260 "," $114,200 "
,Demonstrators and product promoters," $22,510 "," $11,719 "," $16,670 "," $18,660 "," $22,510 "," $29,920 "," $41,770 "
,Dental assistants," $33,230 "," $9,274 "," $22,710 "," $27,520 "," $33,230 "," $39,780 "," $47,070 "
,Dental hygienists," $67,340 "," $17,403 "," $44,900 "," $55,620 "," $67,340 "," $79,990 "," $92,860 "
,Dental laboratory technicians," $34,820 "," $14,705 "," $21,370 "," $27,090 "," $34,820 "," $45,120 "," $58,390 "
,"Dentists, all other specialists"," $153,290 "," $54,725 "," $55,250 "," $90,370 "," $153,290 "," $195,549 "," $238,855 "
,"Dentists, general"," $142,090 "," $50,727 "," $69,790 "," $100,330 "," $142,090 "," $181,261 "," $221,403 "
,"Derrick operators, oil and gas"," $42,970 "," $12,049 "," $28,850 "," $34,420 "," $42,970 "," $50,980 "," $60,970 "
,"Designers, all other"," $44,020 "," $27,430 "," $21,180 "," $28,780 "," $44,020 "," $65,520 "," $89,890 "
,Desktop publishers," $36,470 "," $14,314 "," $21,920 "," $28,430 "," $36,470 "," $47,870 "," $59,180 "
,Detectives and criminal investigators," $62,110 "," $23,934 "," $37,960 "," $47,070 "," $62,110 "," $83,650 "," $99,980 "
,Diagnostic medical sonographers," $63,010 "," $15,768 "," $43,990 "," $53,110 "," $63,010 "," $74,400 "," $85,950 "
,Dietetic technicians," $26,990 "," $9,473 "," $17,720 "," $21,070 "," $26,990 "," $34,710 "," $41,760 "
,Dietitians and nutritionists," $52,150 "," $15,005 "," $33,230 "," $42,400 "," $52,150 "," $63,460 "," $74,690 "
,Dining room and cafeteria attendants and bartender helpers," $17,700 "," $4,878 "," $15,060 "," $15,910 "," $17,700 "," $19,990 "," $24,960 "
,"Directors, religious activities and education"," $36,190 "," $19,905 "," $18,670 "," $25,640 "," $36,190 "," $50,450 "," $69,090 "
,Dishwashers," $17,770 "," $3,732 "," $15,120 "," $16,010 "," $17,770 "," $19,700 "," $22,940 "
,"Dispatchers, except police, fire, and ambulance"," $34,480 "," $14,886 "," $21,150 "," $26,820 "," $34,480 "," $45,320 "," $58,410 "
,"Door-to-door sales workers, news and street vendors, and related workers"," $21,300 "," $13,127 "," $15,410 "," $17,070 "," $21,300 "," $30,760 "," $43,230 "
,"Drafters, all other"," $45,320 "," $17,441 "," $28,540 "," $35,720 "," $45,320 "," $58,540 "," $72,910 "
,Dredge operators," $34,590 "," $14,957 "," $22,070 "," $26,850 "," $34,590 "," $45,480 "," $58,640 "
,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"," $31,470 "," $10,137 "," $21,200 "," $25,710 "," $31,470 "," $38,840 "," $47,040 "
,Driver/sales workers," $22,740 "," $13,512 "," $15,360 "," $16,830 "," $22,740 "," $33,530 "," $45,240 "
,Drywall and ceiling tile installers," $37,190 "," $18,497 "," $24,180 "," $29,470 "," $37,190 "," $49,740 "," $67,440 "
,"Earth drillers, except oil and gas"," $39,140 "," $15,465 "," $26,440 "," $31,270 "," $39,140 "," $49,900 "," $63,700 "
,"Economics teachers, postsecondary"," $81,170 "," $39,028 "," $42,820 "," $59,720 "," $81,170 "," $108,100 "," $144,750 "
,Economists," $86,930 "," $40,801 "," $44,720 "," $60,990 "," $86,930 "," $119,630 "," $153,210 "
